"Date","Value"
"11/01/1929",0.53
"12/01/1929",0.53
"01/01/1930",0.38
"02/01/1930",0.38
"03/01/1930",0.38
"04/01/1930",0.38
"05/01/1930",0.38
"06/01/1930",0.38
"07/01/1930",0.38
"08/01/1930",0.38
"09/01/1930",0.38
"10/01/1930",0.38
"11/01/1930",0.38
"12/01/1930",0.38
"01/01/1931",0.29
"02/01/1931",0.29
"03/01/1931",0.29
"04/01/1931",0.29
"05/01/1931",0.29
"06/01/1931",0.29
"07/01/1931",0.29
"08/01/1931",0.29
"09/01/1931",0.29
"10/01/1931",0.29
"11/01/1931",0.29
"12/01/1931",0.29
"01/01/1932",0.28
"02/01/1932",0.28
"03/01/1932",0.28
"04/01/1932",0.28
"05/01/1932",0.28
"06/01/1932",0.28
"07/01/1932",0.28
"08/01/1932",0.28
"09/01/1932",0.28
"10/01/1932",0.28
"11/01/1932",0.28
"12/01/1932",0.28
"01/01/1933",0.35
"02/01/1933",0.35
"03/01/1933",0.35
"04/01/1933",0.35
"05/01/1933",0.35
"06/01/1933",0.35
"07/01/1933",0.35
"08/01/1933",0.35
"09/01/1933",0.35
"10/01/1933",0.35
"11/01/1933",0.35
"12/01/1933",0.35
"01/01/1934",0.48
"02/01/1934",0.48
"03/01/1934",0.48
"04/01/1934",0.48
"05/01/1934",0.48
"06/01/1934",0.48
"07/01/1934",0.48
"08/01/1934",0.48
"09/01/1934",0.48
"10/01/1934",0.48
"11/01/1934",0.48
"12/01/1934",0.48
"01/01/1935",0.64
"02/01/1935",0.64
"03/01/1935",0.64
"04/01/1935",0.64
"05/01/1935",0.64
"06/01/1935",0.64
"07/01/1935",0.64
"08/01/1935",0.64
"09/01/1935",0.64
"10/01/1935",0.64
"11/01/1935",0.64
"12/01/1935",0.64
"01/01/1936",0.45
"02/01/1936",0.45
"03/01/1936",0.45
"04/01/1936",0.45
"05/01/1936",0.45
"06/01/1936",0.45
"07/01/1936",0.45
"08/01/1936",0.45
"09/01/1936",0.45
"10/01/1936",0.45
"11/01/1936",0.45
"12/01/1936",0.45
"01/01/1937",0.45
"02/01/1937",0.45
"03/01/1937",0.45
"04/01/1937",0.45
"05/01/1937",0.45
"06/01/1937",0.45
"07/01/1937",0.45
"08/01/1937",0.45
"09/01/1937",0.45
"10/01/1937",0.45
"11/01/1937",0.45
"12/01/1937",0.45
"01/01/1938",0.43
"02/01/1938",0.43
"03/01/1938",0.43
"04/01/1938",0.43
"05/01/1938",0.43
"06/01/1938",0.43
"07/01/1938",0.43
"08/01/1938",0.43
"09/01/1938",0.43
"10/01/1938",0.43
"11/01/1938",0.43
"12/01/1938",0.43
"01/01/1939",0.39
"02/01/1939",0.39
"03/01/1939",0.39
"04/01/1939",0.39
"05/01/1939",0.39
"06/01/1939",0.39
"07/01/1939",0.39
"08/01/1939",0.39
"09/01/1939",0.39
"10/01/1939",0.39
"11/01/1939",0.39
"12/01/1939",0.39
"01/01/1940",0.35
"02/01/1940",0.35
"03/01/1940",0.35
"04/01/1940",0.35
"05/01/1940",0.35
"06/01/1940",0.35
"07/01/1940",0.35
"08/01/1940",0.35
"09/01/1940",0.35
"10/01/1940",0.35
"11/01/1940",0.35
"12/01/1940",0.35
"01/01/1941",0.35
"02/01/1941",0.35
"03/01/1941",0.35
"04/01/1941",0.35
"05/01/1941",0.35
"06/01/1941",0.35
"07/01/1941",0.35
"08/01/1941",0.35
"09/01/1941",0.35
"10/01/1941",0.35
"11/01/1941",0.35
"12/01/1941",0.35
"01/01/1942",0.38
"02/01/1942",0.38
"03/01/1942",0.38
"04/01/1942",0.38
"05/01/1942",0.38
"06/01/1942",0.38
"07/01/1942",0.38
"08/01/1942",0.38
"09/01/1942",0.38
"10/01/1942",0.38
"11/01/1942",0.38
"12/01/1942",0.38
"01/01/1943",0.45
"02/01/1943",0.45
"03/01/1943",0.45
"04/01/1943",0.45
"05/01/1943",0.45
"06/01/1943",0.45
"07/01/1943",0.45
"08/01/1943",0.45
"09/01/1943",0.45
"10/01/1943",0.45
"11/01/1943",0.45
"12/01/1943",0.45
"01/01/1944",0.45
"02/01/1944",0.45
"03/01/1944",0.45
"04/01/1944",0.45
"05/01/1944",0.45
"06/01/1944",0.45
"07/01/1944",0.45
"08/01/1944",0.45
"09/01/1944",0.45
"10/01/1944",0.45
"11/01/1944",0.45
"12/01/1944",0.45
"01/01/1945",0.52
"02/01/1945",0.52
"03/01/1945",0.52
"04/01/1945",0.52
"05/01/1945",0.52
"06/01/1945",0.52
"07/01/1945",0.52
"08/01/1945",0.52
"09/01/1945",0.52
"10/01/1945",0.52
"11/01/1945",0.52
"12/01/1945",0.52
"01/01/1946",0.8
"02/01/1946",0.8
"03/01/1946",0.8
"04/01/1946",0.8
"05/01/1946",0.8
"06/01/1946",0.8
"07/01/1946",0.8
"08/01/1946",0.8
"09/01/1946",0.8
"10/01/1946",0.8
"11/01/1946",0.8
"12/01/1946",0.8
"01/01/1947",0.72
"02/01/1947",0.72
"03/01/1947",0.72
"04/01/1947",0.72
"05/01/1947",0.72
"06/01/1947",0.72
"07/01/1947",0.72
"08/01/1947",0.72
"09/01/1947",0.72
"10/01/1947",0.72
"11/01/1947",0.72
"12/01/1947",0.72
"01/01/1948",0.74
"02/01/1948",0.74
"03/01/1948",0.74
"04/01/1948",0.74
"05/01/1948",0.74
"06/01/1948",0.74
"07/01/1948",0.74
"08/01/1948",0.74
"09/01/1948",0.74
"10/01/1948",0.74
"11/01/1948",0.74
"12/01/1948",0.74
"01/01/1949",0.72
"02/01/1949",0.72
"03/01/1949",0.72
"04/01/1949",0.72
"05/01/1949",0.72
"06/01/1949",0.72
"07/01/1949",0.72
"08/01/1949",0.72
"09/01/1949",0.72
"10/01/1949",0.72
"11/01/1949",0.72
"12/01/1949",0.72
"01/01/1950",0.74
"02/01/1950",0.74
"03/01/1950",0.74
"04/01/1950",0.74
"05/01/1950",0.74
"06/01/1950",0.74
"07/01/1950",0.74
"08/01/1950",0.74
"09/01/1950",0.74
"10/01/1950",0.74
"11/01/1950",0.74
"12/01/1950",0.74
"01/01/1951",0.89
"02/01/1951",0.89
"03/01/1951",0.89
"04/01/1951",0.89
"05/01/1951",0.89
"06/01/1951",0.89
"07/01/1951",0.89
"08/01/1951",0.89
"09/01/1951",0.89
"10/01/1951",0.89
"11/01/1951",0.89
"12/01/1951",0.89
"01/01/1952",0.85
"02/01/1952",0.85
"03/01/1952",0.85
"04/01/1952",0.85
"05/01/1952",0.85
"06/01/1952",0.85
"07/01/1952",0.85
"08/01/1952",0.85
"09/01/1952",0.85
"10/01/1952",0.85
"11/01/1952",0.85
"12/01/1952",0.85
"01/01/1953",0.85
"02/01/1953",0.85
"03/01/1953",0.85
"04/01/1953",0.85
"05/01/1953",0.85
"06/01/1953",0.85
"07/01/1953",0.85
"08/01/1953",0.85
"09/01/1953",0.85
"10/01/1953",0.85
"11/01/1953",0.85
"12/01/1953",0.85
"01/01/1954",0.85
"02/01/1954",0.85
"03/01/1954",0.85
"04/01/1954",0.85
"05/01/1954",0.85
"06/01/1954",0.85
"07/01/1954",0.85
"08/01/1954",0.85
"09/01/1954",0.85
"10/01/1954",0.85
"11/01/1954",0.85
"12/01/1954",0.85
"01/01/1955",0.89
"02/01/1955",0.89
"03/01/1955",0.89
"04/01/1955",0.89
"05/01/1955",0.89
"06/01/1955",0.89
"07/01/1955",0.89
"08/01/1955",0.89
"09/01/1955",0.89
"10/01/1955",0.89
"11/01/1955",0.89
"12/01/1955",0.89
"01/01/1956",0.92
"02/01/1956",0.92
"03/01/1956",0.92
"04/01/1956",0.92
"05/01/1956",0.92
"06/01/1956",0.92
"07/01/1956",0.92
"08/01/1956",0.92
"09/01/1956",0.92
"10/01/1956",0.92
"11/01/1956",0.92
"12/01/1956",0.92
"01/01/1957",0.92
"02/01/1957",0.92
"03/01/1957",0.92
"04/01/1957",0.92
"05/01/1957",0.92
"06/01/1957",0.92
"07/01/1957",0.92
"08/01/1957",0.92
"09/01/1957",0.92
"10/01/1957",0.92
"11/01/1957",0.92
"12/01/1957",0.92
"01/01/1958",0.89
"02/01/1958",0.89
"03/01/1958",0.89
"04/01/1958",0.89
"05/01/1958",0.89
"06/01/1958",0.89
"07/01/1958",0.89
"08/01/1958",0.89
"09/01/1958",0.89
"10/01/1958",0.89
"11/01/1958",0.89
"12/01/1958",0.89
"01/01/1959",0.92
"02/01/1959",0.92
"03/01/1959",0.92
"04/01/1959",0.92
"05/01/1959",0.92
"06/01/1959",0.92
"07/01/1959",0.92
"08/01/1959",0.92
"09/01/1959",0.92
"10/01/1959",0.92
"11/01/1959",0.92
"12/01/1959",0.92
"01/01/1960",0.92
"02/01/1960",0.92
"03/01/1960",0.92
"04/01/1960",0.92
"05/01/1960",0.92
"06/01/1960",0.92
"07/01/1960",0.92
"08/01/1960",0.92
"09/01/1960",0.92
"10/01/1960",0.92
"11/01/1960",0.92
"12/01/1960",0.92
"01/01/1961",0.93
"02/01/1961",0.93
"03/01/1961",0.93
"04/01/1961",0.93
"05/01/1961",0.93
"06/01/1961",0.93
"07/01/1961",0.93
"08/01/1961",0.93
"09/01/1961",0.93
"10/01/1961",0.93
"11/01/1961",0.93
"12/01/1961",0.93
"01/01/1962",1.09
"02/01/1962",1.09
"03/01/1962",1.09
"04/01/1962",1.09
"05/01/1962",1.09
"06/01/1962",1.09
"07/01/1962",1.09
"08/01/1962",1.09
"09/01/1962",1.09
"10/01/1962",1.09
"11/01/1962",1.09
"12/01/1962",1.09
"01/01/1963",1.29
"02/01/1963",1.29
"03/01/1963",1.29
"04/01/1963",1.29
"05/01/1963",1.29
"06/01/1963",1.295
"07/01/1963",1.296
"08/01/1963",1.295
"09/01/1963",1.291
"10/01/1963",1.294
"11/01/1963",1.294
"12/01/1963",1.292
"01/01/1964",1.292
"02/01/1964",1.294
"03/01/1964",1.303
"04/01/1964",1.293
"05/01/1964",1.292
"06/01/1964",1.292
"07/01/1964",1.294
"08/01/1964",1.299
"09/01/1964",1.309
"10/01/1964",1.3
"11/01/1964",1.298
"12/01/1964",1.313
"01/01/1965",1.302
"02/01/1965",1.301
"03/01/1965",1.296
"04/01/1965",1.3
"05/01/1965",1.292
"06/01/1965",1.288
"07/01/1965",1.29
"08/01/1965",1.294
"09/01/1965",1.295
"10/01/1965",1.293
"11/01/1965",1.294
"12/01/1965",1.297
"01/01/1966",1.295
"02/01/1966",1.293
"03/01/1966",1.29
"04/01/1966",1.295
"05/01/1966",1.29
"06/01/1966",1.295
"07/01/1966",1.301
"08/01/1966",1.308
"09/01/1966",1.307
"10/01/1966",1.296
"11/01/1966",1.296
"12/01/1966",1.305
"01/01/1967",1.293
"02/01/1967",1.3
"03/01/1967",1.296
"04/01/1967",1.304
"05/01/1967",1.611
"06/01/1967",1.696
"07/01/1967",1.844
"08/01/1967",1.682
"09/01/1967",1.71
"10/01/1967",1.878
"11/01/1967",2.032
"12/01/1967",2.253
"01/01/1968",1.96
"02/01/1968",2.08
"03/01/1968",2.28
"04/01/1968",2.4
"05/01/1968",2.48
"06/01/1968",2.5
"07/01/1968",2.29
"08/01/1968",2.24
"09/01/1968",2.17
"10/01/1968",1.93
"11/01/1968",1.97
"12/01/1968",1.95
"01/01/1969",2
"02/01/1969",1.83
"03/01/1969",1.83
"04/01/1969",1.78
"05/01/1969",1.77
"06/01/1969",1.56
"07/01/1969",1.63
"08/01/1969",1.67
"09/01/1969",1.88
"10/01/1969",1.95
"11/01/1969",1.89
"12/01/1969",1.79
"01/01/1970",1.91
"02/01/1970",1.9
"03/01/1970",1.88
"04/01/1970",1.72
"05/01/1970",1.63
"06/01/1970",1.61
"07/01/1970",1.77
"08/01/1970",1.84
"09/01/1970",1.7
"10/01/1970",1.78
"11/01/1970",1.65
"12/01/1970",1.63
"01/01/1971",1.59
"02/01/1971",1.59
"03/01/1971",1.69
"04/01/1971",1.69
"05/01/1971",1.6
"06/01/1971",1.58
"07/01/1971",1.59
"08/01/1971",1.5
"09/01/1971",1.38
"10/01/1971",1.31
"11/01/1971",1.33
"12/01/1971",1.37
"01/01/1972",1.5
"02/01/1972",1.47
"03/01/1972",1.56
"04/01/1972",1.57
"05/01/1972",1.55
"06/01/1972",1.56
"07/01/1972",1.83
"08/01/1972",1.91
"09/01/1972",1.74
"10/01/1972",1.8
"11/01/1972",1.85
"12/01/1972",2.03
"01/01/1973",2.01
"02/01/1973",2.43
"03/01/1973",2.2
"04/01/1973",2.15
"05/01/1973",2.55
"06/01/1973",2.67
"07/01/1973",2.76
"08/01/1973",2.6
"09/01/1973",2.7
"10/01/1973",2.84
"11/01/1973",2.92
"12/01/1973",3.26
"01/01/1974",3.87
"02/01/1974",5.69
"03/01/1974",5.35
"04/01/1974",5.62
"05/01/1974",4.92
"06/01/1974",4.61
"07/01/1974",4.79
"08/01/1974",4.12
"09/01/1974",4.25
"10/01/1974",4.86
"11/01/1974",4.46
"12/01/1974",4.47
"01/01/1975",4.15
"02/01/1975",4.42
"03/01/1975",4.28
"04/01/1975",4.43
"05/01/1975",4.53
"06/01/1975",4.57
"07/01/1975",5
"08/01/1975",4.63
"09/01/1975",4.44
"10/01/1975",4.19
"11/01/1975",4.23
"12/01/1975",4.18
"01/01/1976",4.01
"02/01/1976",4.16
"03/01/1976",4.11
"04/01/1976",4.43
"05/01/1976",4.62
"06/01/1976",4.83
"07/01/1976",4.54
"08/01/1976",4.11
"09/01/1976",4.39
"10/01/1976",4.27
"11/01/1976",4.28
"12/01/1976",4.36
"01/01/1977",4.45
"02/01/1977",4.73
"03/01/1977",4.83
"04/01/1977",4.71
"05/01/1977",4.56
"06/01/1977",4.51
"07/01/1977",4.52
"08/01/1977",4.45
"09/01/1977",4.65
"10/01/1977",4.85
"11/01/1977",4.74
"12/01/1977",4.76
"01/01/1978",4.95
"02/01/1978",4.97
"03/01/1978",5.35
"04/01/1978",5
"05/01/1978",5.47
"06/01/1978",5.28
"07/01/1978",5.57
"08/01/1978",5.53
"09/01/1978",5.67
"10/01/1978",6.26
"11/01/1978",5.91
"12/01/1978",6.02
"01/01/1979",6.71
"02/01/1979",7.69
"03/01/1979",7.45
"04/01/1979",7.65
"05/01/1979",8.77
"06/01/1979",8.54
"07/01/1979",9.08
"08/01/1979",10.32
"09/01/1979",16.25
"10/01/1979",16.6
"11/01/1979",19
"12/01/1979",32.2
"01/01/1980",35.28
"02/01/1980",35.52
"03/01/1980",13.49
"04/01/1980",13.83
"05/01/1980",13.7
"06/01/1980",16.75
"07/01/1980",15.78
"08/01/1980",16.06
"09/01/1980",20.5
"10/01/1980",18.88
"11/01/1980",18.42
"12/01/1980",15.5
"01/01/1981",13.15
"02/01/1981",12.53
"03/01/1981",12.33
"04/01/1981",11.07
"05/01/1981",10.59
"06/01/1981",8.3
"07/01/1981",8.51
"08/01/1981",9.15
"09/01/1981",8.95
"10/01/1981",9.12
"11/01/1981",8.27
"12/01/1981",8.15
"01/01/1982",8.28
"02/01/1982",7.84
"03/01/1982",7.06
"04/01/1982",7.06
"05/01/1982",6.36
"06/01/1982",5.73
"07/01/1982",6.64
"08/01/1982",7.73
"09/01/1982",8.19
"10/01/1982",9.87
"11/01/1982",9.54
"12/01/1982",10.87
"01/01/1983",13.82
"02/01/1983",11.7
"03/01/1983",10.5
"04/01/1983",11.96
"05/01/1983",13.55
"06/01/1983",11.6
"07/01/1983",12.15
"08/01/1983",11.99
"09/01/1983",11.24
"10/01/1983",8.74
"11/01/1983",9.81
"12/01/1983",8.91
"01/01/1984",8.43
"02/01/1984",9.64
"03/01/1984",9.65
"04/01/1984",8.96
"05/01/1984",9.12
"06/01/1984",8.39
"07/01/1984",7.11
"08/01/1984",7.45
"09/01/1984",7.44
"10/01/1984",7.2
"11/01/1984",7.05
"12/01/1984",6.29
"01/01/1985",6.33
"02/01/1985",5.72
"03/01/1985",6.66
"04/01/1985",6.32
"05/01/1985",6.09
"06/01/1985",6.11
"07/01/1985",6.34
"08/01/1985",6.25
"09/01/1985",6.05
"10/01/1985",6.15
"11/01/1985",6.15
"12/01/1985",5.8
"01/01/1986",6.1
"02/01/1986",5.67
"03/01/1986",5.62
"04/01/1986",5.11
"05/01/1986",5.21
"06/01/1986",5.05
"07/01/1986",5.05
"08/01/1986",5.17
"09/01/1986",5.52
"10/01/1986",5.61
"11/01/1986",5.38
"12/01/1986",5.28
"01/01/1987",5.55
"02/01/1987",5.47
"03/01/1987",6.31
"04/01/1987",8.13
"05/01/1987",7.69
"06/01/1987",7.14
"07/01/1987",8.32
"08/01/1987",7.55
"09/01/1987",7.64
"10/01/1987",6.88
"11/01/1987",7.25
"12/01/1987",6.7
"01/01/1988",6.55
"02/01/1988",6.14
"03/01/1988",6.75
"04/01/1988",6.46
"05/01/1988",6.6
"06/01/1988",6.65
"07/01/1988",6.8
"08/01/1988",6.46
"09/01/1988",6.17
"10/01/1988",6.31
"11/01/1988",6.07
"12/01/1988",6.05
"01/01/1989",5.85
"02/01/1989",5.86
"03/01/1989",5.77
"04/01/1989",5.64
"05/01/1989",5.22
"06/01/1989",5.17
"07/01/1989",5.15
"08/01/1989",5.07
"09/01/1989",5.28
"10/01/1989",5.23
"11/01/1989",5.57
"12/01/1989",5.22
"01/01/1990",5.21
"02/01/1990",5.12
"03/01/1990",4.97
"04/01/1990",4.94
"05/01/1990",5.07
"06/01/1990",4.84
"07/01/1990",4.86
"08/01/1990",4.83
"09/01/1990",4.8
"10/01/1990",4.22
"11/01/1990",4.09
"12/01/1990",4.19
"01/01/1991",3.83
"02/01/1991",3.68
"03/01/1991",3.84
"04/01/1991",3.93
"05/01/1991",4.13
"06/01/1991",4.45
"07/01/1991",4.07
"08/01/1991",3.82
"09/01/1991",4.14
"10/01/1991",4.09
"11/01/1991",4.07
"12/01/1991",3.86
"01/01/1992",4.13
"02/01/1992",4.12
"03/01/1992",4.12
"04/01/1992",3.98
"05/01/1992",4.06
"06/01/1992",4.03
"07/01/1992",3.95
"08/01/1992",3.72
"09/01/1992",3.77
"10/01/1992",3.76
"11/01/1992",3.73
"12/01/1992",3.67
"01/01/1993",3.71
"02/01/1993",3.57
"03/01/1993",3.89
"04/01/1993",4.3
"05/01/1993",4.71
"06/01/1993",4.58
"07/01/1993",5.3
"08/01/1993",4.84
"09/01/1993",4.03
"10/01/1993",4.4
"11/01/1993",4.47
"12/01/1993",5.12
"01/01/1994",5.06
"02/01/1994",5.24
"03/01/1994",5.74
"04/01/1994",5.28
"05/01/1994",5.5
"06/01/1994",5.25
"07/01/1994",5.29
"08/01/1994",5.36
"09/01/1994",5.62
"10/01/1994",5.35
"11/01/1994",5.08
"12/01/1994",4.85
"01/01/1995",4.7
"02/01/1995",4.49
"03/01/1995",5.16
"04/01/1995",5.83
"05/01/1995",5.3
"06/01/1995",5.33
"07/01/1995",5.1
"08/01/1995",5.32
"09/01/1995",5.53
"10/01/1995",5.36
"11/01/1995",5.18
"12/01/1995",5.14
"01/01/1996",5.52
"02/01/1996",5.52
"03/01/1996",5.52
"04/01/1996",5.28
"05/01/1996",5.34
"06/01/1996",5.03
"07/01/1996",5.11
"08/01/1996",5.2
"09/01/1996",4.88
"10/01/1996",4.83
"11/01/1996",4.74
"12/01/1996",4.8
"01/01/1997",4.96
"02/01/1997",5.25
"03/01/1997",5.13
"04/01/1997",4.66
"05/01/1997",4.86
"06/01/1997",4.72
"07/01/1997",4.38
"08/01/1997",4.73
"09/01/1997",5.17
"10/01/1997",4.82
"11/01/1997",5.3
"12/01/1997",6
"01/01/1998",6.05
"02/01/1998",6.37
"03/01/1998",6.35
"04/01/1998",6.22
"05/01/1998",4.96
"06/01/1998",5.36
"07/01/1998",5.53
"08/01/1998",4.79
"09/01/1998",5.39
"10/01/1998",5.06
"11/01/1998",4.93
"12/01/1998",5.01
"01/01/1999",5.24
"02/01/1999",5.58
"03/01/1999",5.03
"04/01/1999",5.44
"05/01/1999",4.94
"06/01/1999",5.22
"07/01/1999",5.45
"08/01/1999",5.08
"09/01/1999",5.58
"10/01/1999",5.29
"11/01/1999",5.18
"12/01/1999",5.33
"01/01/2000",5.26
"02/01/2000",5.1
"03/01/2000",4.94
"04/01/2000",4.94
"05/01/2000",4.9
"06/01/2000",5.02
"07/01/2000",4.95
"08/01/2000",4.91
"09/01/2000",4.89
"10/01/2000",4.74
"11/01/2000",4.63
"12/01/2000",4.58
"01/01/2001",4.79
"02/01/2001",4.43
"03/01/2001",4.33
"04/01/2001",4.37
"05/01/2001",4.43
"06/01/2001",4.34
"07/01/2001",4.22
"08/01/2001",4.2
"09/01/2001",4.59
"10/01/2001",4.28
"11/01/2001",4.14
"12/01/2001",4.52
"01/01/2002",4.28
"02/01/2002",4.44
"03/01/2002",4.68
"04/01/2002",4.6
"05/01/2002",5.05
"06/01/2002",4.87
"07/01/2002",4.66
"08/01/2002",4.57
"09/01/2002",4.53
"10/01/2002",4.48
"11/01/2002",4.43
"12/01/2002",4.67
"01/01/2003",4.87
"02/01/2003",4.6
"03/01/2003",4.46
"04/01/2003",4.61
"05/01/2003",4.56
"06/01/2003",4.51
"07/01/2003",5.08
"08/01/2003",5.11
"09/01/2003",5.12
"10/01/2003",5.14
"11/01/2003",5.35
"12/01/2003",5.97
"01/01/2004",6.23
"02/01/2004",6.58
"03/01/2004",7.83
"04/01/2004",5.95
"05/01/2004",6.17
"06/01/2004",5.91
"07/01/2004",6.42
"08/01/2004",6.74
"09/01/2004",6.67
"10/01/2004",7.16
"11/01/2004",7.76
"12/01/2004",6.82
"01/01/2005",6.72
"02/01/2005",7.35
"03/01/2005",7.19
"04/01/2005",6.98
"05/01/2005",7.13
"06/01/2005",7.1
"07/01/2005",7.15
"08/01/2005",6.74
"09/01/2005",7.53
"10/01/2005",7.77
"11/01/2005",8.21
"12/01/2005",8.83
"01/01/2006",9.91
"02/01/2006",9.7
"03/01/2006",11.76
"04/01/2006",12.56
"05/01/2006",13.13
"06/01/2006",10.7
"07/01/2006",11.44
"08/01/2006",12.6
"09/01/2006",11.55
"10/01/2006",12.08
"11/01/2006",13.68
"12/01/2006",12.9
"01/01/2007",13.36
"02/01/2007",14.31
"03/01/2007",13.35
"04/01/2007",13.5
"05/01/2007",13.25
"06/01/2007",12.54
"07/01/2007",12.93
"08/01/2007",11.95
"09/01/2007",13.65
"10/01/2007",14.32
"11/01/2007",14.23
"12/01/2007",14.76
"01/01/2008",16.74
"02/01/2008",19.62
"03/01/2008",17.99
"04/01/2008",16.47
"05/01/2008",16.85
"06/01/2008",17.65
"07/01/2008",17.48
"08/01/2008",13.76
"09/01/2008",12.96
"10/01/2008",9.28
"11/01/2008",10.12
"12/01/2008",10.79
"01/01/2009",12.51
"02/01/2009",13.21
"03/01/2009",13.11
"04/01/2009",12.63
"05/01/2009",15.52
"06/01/2009",13.94
"07/01/2009",13.63
"08/01/2009",14.54
"09/01/2009",16.45
"10/01/2009",16.57
"11/01/2009",18.14
"12/01/2009",16.99
"01/01/2010",16.29
"02/01/2010",16.12
"03/01/2010",17.5
"04/01/2010",18.62
"05/01/2010",18.53
"06/01/2010",18.74
"07/01/2010",17.66
"08/01/2010",18.87
"09/01/2010",22.07
"10/01/2010",23.96
"11/01/2010",27.13
"12/01/2010",30.63
"01/01/2011",27.75
"02/01/2011",33.49
"03/01/2011",37.87
"04/01/2011",48.7
"05/01/2011",38.65
"06/01/2011",35.02
"07/01/2011",39.63
"08/01/2011",41.35
"09/01/2011",30.45
"10/01/2011",34.24
"11/01/2011",31.35
"12/01/2011",28.18
"01/01/2012",33.6
"02/01/2012",37.23
